Usuario,Comentario,Calificación
Un usuario de Google,"Aplicativo basura, ingreso al aplicativo y se cierra solo. Arreglenlo hagan algo decente.",1
Un usuario de Google,"es buena aplicación, fácil de usar",5
Un usuario de Google,No puedo activar y desactivar las compras por internet desde el app 😡,1
Un usuario de Google,Me parece muy útil. Espero que sigan mejorando esta app.,5
Un usuario de Google,excelente,5
Un usuario de Google,excelente,1
Un usuario de Google,💪👍🚀,5
Un usuario de Google,"la app se cuelga últimamente y se cierra, no puedo hacer ninguna operación, no cambiaré mi puntaje hasta que no resuelvan el inconveniente",1
Un usuario de Google,hasta domingos funciones muy bien 👍,5
Un usuario de Google,útil,5
Un usuario de Google,Exelente app,5
Un usuario de Google,ok,5
Un usuario de Google,muy buena experiencia 2,5
Un usuario de Google,"Esta última actualización qué oculta el saldo no me parece nada bien, quiero q se vea el saldo al entrar a la app",5
Un usuario de Google,"últimamente está fallando muchas veces, no permite el acceso al app",2
Un usuario de Google,"Salvo alguna ocasion funciona bien, pero no entiemdo para que incluyeron los beneficios en la app, con tanta inseguridad yo no saco el telefono donde la tengo instalada a la calle igual hacen muchas personas, ahora no puedo usar los beneficios, es como que quisieran que no los usemos.",3
Un usuario de Google,No apertura la aplicación,1
Un usuario de Google,"Deberían permitir, realizar giros nacionales desde el app, así mismo poder tener acceso al historial de operaciones, mediante descarga en PDF al correo afiliado en el app.",2
Un usuario de Google,"Tengo problemas en abrir la aplicación hace 2 días, tengo por hacer transferencias y no puedo. Por favor ayúdenme",2
Un usuario de Google,mejorar el guardadito no tiene sentido habilitarlo y va seguir reflajando el saldo,3
Un usuario de Google,excelente,5
Un usuario de Google,NO puedo hacer yapes del aplicativo BCP,3
Un usuario de Google,muy buena app,5
Un usuario de Google,muy bueno,5
Un usuario de Google,es muy buena,1
Un usuario de Google,muy buena aplicación,5
Un usuario de Google,muy bueno,5
Un usuario de Google,buena,5
Un usuario de Google,por que no pode conswguir um prestamo de su aplicación ?,5
Un usuario de Google,super genial,5
Un usuario de Google,muy buena,5
Un usuario de Google,muy bueno,5
Un usuario de Google,"muy buena me gustó, las transferencias se hacen rápidas y seguras",5
Un usuario de Google,bien,5
Un usuario de Google,buen,5
Un usuario de Google,muy confortable y rapidez,5
Un usuario de Google,terrible en estos momentos no funcionan,1
Un usuario de Google,buena la apk,5
Un usuario de Google,bueno,5
Un usuario de Google,good,5
Un usuario de Google,Buena app,4
Un usuario de Google,bien,4
Un usuario de Google,"App amigable, pero obliga a que todas las cuentas que uno tiene se vean allí y por tal motivo tengo mis ahorros en otra entidad financiera de la que no he bajado su App",4
Un usuario de Google,Bien,5
Un usuario de Google,genial,4
Un usuario de Google,buena,4
Un usuario de Google,excelente 👍,5
Un usuario de Google,la peor banca móvil 😡,1
Un usuario de Google,👍🏽,5
Un usuario de Google,buena,4
Un usuario de Google,"Me molesta tanto cambio a cada rato y tanta clave, demasiada perdida de tiempo para el usuario.",1
Un usuario de Google,no pued transferir dinero sale error,2
Un usuario de Google,muy buena,5
Un usuario de Google,muy buena,5
Un usuario de Google,la mejor del mundo mundial,5
Un usuario de Google,Una aplicación segura y facil de usar,5
Un usuario de Google,"Si aplicación no sirve, el token digital se para desicronizando y no te deja transferir dinero, para solucionarlo tienes que reinstalar la app y si quieres hacer transferencias tienes que esperarte hasta el día siguiente ya que al de sincronizarse detecta como actividad sospechosa cada transferencia fallida y suspende tu cuenta por 24 horas.",1
Un usuario de Google,fácil de usar,4
Un usuario de Google,hace una semana que no puedo hacer ninguna transferencia,1
Un usuario de Google,No sirve. Pido toquen digital.. Y el app me saca de la página...,5
Un usuario de Google,muy 👍 buena esta banca,5
Un usuario de Google,Excelente.,5
Un usuario de Google,excelente 🥰,5
Un usuario de Google,"Tengo un problema, no puedo ingresar a la aplicación, coloco mi clave y se cierra la app. Necesito una solución al respecto. Pésima aplicación.",1
Un usuario de Google,Muy bien aplicativo,5
Un usuario de Google,genial 👍,4
Un usuario de Google,Muy buen app,4
Un usuario de Google,"cuando funciona, funciona bien",3
Un usuario de Google,plataforma practica rapida,5
Un usuario de Google,Bueno,5
Un usuario de Google,Muy buena,5
Un usuario de Google,muy buen servicio gracias,5
Un usuario de Google,Antes funcionaba mejor!,1
Un usuario de Google,buena app,5
Un usuario de Google,La app es muy buena la recomiendo,5
Un usuario de Google,muy buena,5
Un usuario de Google,Tengo problemas para istalar mis.aplicaciones y autulizaziones ayuda,4
Un usuario de Google,"Me facilita los pagos , gracias",5
Un usuario de Google,Excelente,5
Un usuario de Google,todo ok!,4
Un usuario de Google,rapidi,5
Un usuario de Google,buena,5
Un usuario de Google,Muy amigable,5
Un usuario de Google,muy bien excelente,5
Un usuario de Google,efectiva aplicacion,5
Un usuario de Google,"Fácil, rápido y seguro.",5
Un usuario de Google,Gracias por el Proceso,5
Un usuario de Google,"mi experiencia es muy buena , practica y sencilla.",5
Un usuario de Google,Exelente,5
Un usuario de Google,bien,3
Un usuario de Google,Si muy buena aplicación para que solucionen cualquier consulta,5
Un usuario de Google,sigo sin solucionar el mismo problema la app se cierra,1
Un usuario de Google,que es lo que pasa conmigo por dios es increíble,1
Un usuario de Google,funcional y rápida,5
Un usuario de Google,excelente,5
Un usuario de Google,muy bien,5
Un usuario de Google,buena,4
Un usuario de Google,pésimo para pagar servicios siempre me sale espera un minuto,1
Un usuario de Google,muy biena l,5
Un usuario de Google,excelente,5
Un usuario de Google,RECOMIENDO,5
Un usuario de Google,excelente,5
Un usuario de Google,excelente,5
Un usuario de Google,confiable,5
Un usuario de Google,excelente,5
Un usuario de Google,esta lento,3
Un usuario de Google,me facilita la vida,5
Un usuario de Google,"Cada vez que intento hacer una transferencia o pago, sale error y no permite realizar la gestión",1
Un usuario de Google,mala experiencia no me deja abrir mi aplicativo de bcp a mi celular me obligan a tener clave de bloqueo y Yí no quiero no me gusta tener en mi celular clave de desbloqueo cada vez queno lo uso,1
Un usuario de Google,Excelente,5
Un usuario de Google,bueno,5
Un usuario de Google,Buenosmuh buenos,4
Un usuario de Google,muy buena,5
Un usuario de Google,lo mejor en bancos,5
Un usuario de Google,Ágil e intuitivo,5
Un usuario de Google,funciona bien,5
Un usuario de Google,Funciona con total normalidad.,5
Un usuario de Google,excelente,5
Un usuario de Google,buen banco,4
Un usuario de Google,Rápido,5
Un usuario de Google,excelente,5
Un usuario de Google,excelente y util,5
Un usuario de Google,muy buena el BCP muy útil,4
Un usuario de Google,bueno,5
Un usuario de Google,Excelente,5
Un usuario de Google,excelente,5
Un usuario de Google,ok,5
Un usuario de Google,"Volví a actualizar y se mejoró, pero hay un error que no corrigen aún. Trato de activar la biometría para poder confirmar las transacciones con la huella y dice que no es compatible con mi dispositivo. Lo cual es un error, ya que es un Redmi Note 9, y con otros bancos está trabajando la biometría excelente. Por favor, corregir ese error para cambiar comentario y poner 5 estrellas de calificación.",5
Un usuario de Google,Bien,5
Un usuario de Google,BCP lo maximo,5
Un usuario de Google,No funciona a cada rato se apaga.,1
Un usuario de Google,Bien,3
Un usuario de Google,"no puedo yapearme o hacer pagos, ni pedir token digital, sale error y nada",2
Un usuario de Google,accesible la app.,4
Un usuario de Google,bien,5
Un usuario de Google,muy bonita experiencia y rápida transferencia 👍,5
Un usuario de Google,bueno,4
Un usuario de Google,no sé abre .. el aplicativo,1
Un usuario de Google,muy buena,5
Un usuario de Google,"no me deja ingresar, directamente me expulsa",2
Un usuario de Google,😊,1
Un usuario de Google,mala,1
Un usuario de Google,muy confiable y práctica 😃,5
Un usuario de Google,La aplicación de Bcp muchas veces se malogra y piden muchas actualizaciones y eso incomoda al usuario,1
Un usuario de Google,muy buena,5
Un usuario de Google,muy buena app,5
Un usuario de Google,Todo funciona bien!!!,5
Un usuario de Google,muy buena y eficaz,5
Un usuario de Google,Muy buena,5
Un usuario de Google,"Me encanta trabajar con el BCP, mientras por mi parte cumpla con lo pactado con él bco, ustedes también se han portado muy bien conmigo, siempre lo he dicho y mientras trabajemos justamente lo seguiré diciendo, gracias.",5
Un usuario de Google,bueno,5
Un usuario de Google,recomendado,5
Un usuario de Google,pertenecer,5
Un usuario de Google,muy buena,5
Un usuario de Google,Servicio eficas,5
Un usuario de Google,ok,5
Un usuario de Google,"a pesar que configuro mi tarjeta para evitar compras por internet, han habido veces en que algunos aplicativos se han cobrado sin mi consentimiento, es la unica queja que tengo, porque todo funciona bien.",2
Un usuario de Google,Excelente,5
Un usuario de Google,es muy biena la atencion gracias,5
Un usuario de Google,fallando,1
Un usuario de Google,muy genial,5
Un usuario de Google,super rápido y facil,5
Un usuario de Google,muy buena y segura,5
Un usuario de Google,excelente,5
Un usuario de Google,me encanta,5
Un usuario de Google,hasta ahora todo bien,4
Un usuario de Google,muy útil 10/10,5
Un usuario de Google,todo Ok,5
Un usuario de Google,muy buena,5
Un usuario de Google,es muy tedioso,3
Un usuario de Google,es una forma rapida de hacer transferencia s,5
